"","Partition_wardD.Best.partition","Partition_wardD2.Best.partition","Partition_single.Best.partition","Partition_complete.Best.partition","Partition_average.Best.partition","Partition_mcquitty.Best.partition","Partition_median.Best.partition","Partition_centroid.Best.partition","Consenso"
"taxid_229636",2,2,2,2,2,2,2,2,"2"
"taxid_997078",2,2,2,2,2,2,2,2,"2"
"taxid_507475",2,2,2,2,2,2,2,2,"2"
"taxid_439426",2,2,2,2,2,2,2,2,"2"
"taxid_1384631",2,2,2,2,2,2,2,2,"2"
"taxid_501328",2,2,2,2,2,2,2,2,"2"
"taxid_400835",2,2,2,2,2,2,2,2,"2"
"taxid_377609",2,2,2,2,2,2,2,2,"2"
"taxid_219299",1,1,1,1,1,1,1,1,"1"
"taxid_664980",2,2,2,2,2,2,2,2,"2"
"taxid_971271",2,2,2,2,2,2,2,2,"2"
"taxid_270140",2,2,2,2,2,2,2,2,"2"
"taxid_263001",2,2,2,2,2,2,2,2,"2"
"taxid_309390",2,2,2,2,2,2,2,2,"2"
"taxid_220932",2,2,2,2,2,2,2,2,"2"
"taxid_551531",2,2,2,2,2,2,2,2,"2"
"taxid_548915",2,2,2,2,2,2,2,2,"2"
"taxid_223345",2,2,2,2,2,2,2,2,"2"
"taxid_1303385",2,2,2,2,2,2,2,2,"2"
"taxid_996311",2,2,2,2,2,2,2,2,"2"
"taxid_223346",2,2,2,2,2,2,2,2,"2"
"taxid_260379",2,2,2,2,2,2,2,2,"2"
"taxid_302100",2,2,2,2,2,2,2,2,"2"
"taxid_507476",2,2,2,2,2,2,2,2,"2"
"taxid_439425",2,2,2,2,2,2,2,2,"2"
"taxid_439421",2,2,2,2,2,2,2,2,"2"
"taxid_2050583",2,2,2,2,2,2,2,2,"2"
"taxid_2049944",2,2,2,2,2,2,2,2,"2"
"taxid_223347",1,1,1,1,1,1,1,1,"1"
"taxid_614034",2,2,2,2,2,2,2,2,"2"
"taxid_713949",2,2,2,2,2,2,2,2,"2"
"taxid_526476",1,1,1,1,1,1,1,1,"1"
"taxid_575917",2,2,2,2,2,2,2,2,"2"
"taxid_96054",2,2,2,2,2,2,2,2,"2"
"taxid_407837",2,2,2,2,2,2,2,2,"2"
"taxid_2021667",2,2,2,2,2,2,2,2,"2"
"taxid_420254",2,2,2,2,2,2,2,2,"2"
"taxid_938276",2,2,2,2,2,2,2,2,"2"
"taxid_425303",2,2,2,2,2,2,2,2,"2"
"taxid_71186",1,1,1,1,1,1,1,1,"1"
"taxid_223352",2,2,2,2,2,2,2,2,"2"
"taxid_270146",2,2,2,2,2,2,2,2,"2"
"taxid_634441",2,2,2,2,2,2,2,2,"2"
"taxid_196093",2,2,2,2,2,2,2,2,"2"
"taxid_439427",2,2,2,2,2,2,2,2,"2"
"taxid_341035",2,2,2,2,2,2,2,2,"2"
"taxid_208177",2,2,2,2,2,2,2,2,"2"
"taxid_28350",2,2,2,2,2,2,2,2,"2"
"taxid_681518",2,2,2,2,2,2,2,2,"2"
"taxid_536085",2,2,2,2,2,2,2,2,"2"
"taxid_536086",1,1,1,1,1,1,1,1,"1"
"taxid_1124577",1,1,1,1,1,1,1,1,"1"
"taxid_223357",2,2,2,2,2,2,2,2,"2"
"taxid_260908",1,1,1,1,1,1,1,1,"1"
"taxid_172394",2,2,2,2,2,2,2,2,"2"
"taxid_223358",1,1,1,1,1,1,1,1,"1"
"taxid_10835",1,1,1,1,1,1,1,1,"1"
